epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,133.037,1.98243,9.5486,0.86308,0.00061,0.19328,0.00036,0.00017,1.83812,inf,1.11261,0.000663248,0.000663248,0.000663248
2,333.31,2.12516,1.19227,0.90373,0.08208,0.17647,0.0252,0.01307,nan,nan,nan,0.00132553,0.00132553,0.00132553
3,570.141,1.95973,0.96012,0.87495,0.9589,0.89916,0.95686,0.47998,1.52893,0.70945,0.87454,0.0019834,0.0019834,0.0019834
4,779.322,1.8547,0.85427,0.88181,0.92377,0.81469,0.93959,0.51656,1.63446,0.84938,0.90781,0.0019802,0.0019802,0.0019802
5,1016.66,1.7243,0.78577,0.84687,0.89309,0.91256,0.95973,0.5085,1.52418,0.67719,0.89423,0.0019736,0.0019736,0.0019736
6,1276.71,1.73878,0.78446,0.86737,0.93116,0.91597,0.9765,0.54944,1.43651,0.68519,0.87054,0.001967,0.001967,0.001967
7,1537.77,1.68956,0.76907,0.85573,0.93768,0.93277,0.97291,0.56624,1.2925,0.63612,0.85144,0.0019604,0.0019604,0.0019604
8,1814.23,1.65961,0.69803,0.85097,0.93804,0.88235,0.96743,0.54622,1.23295,0.62479,0.86381,0.0019538,0.0019538,0.0019538
9,2022.4,1.64711,0.76369,0.85764,0.93831,0.95798,0.98284,0.52694,1.37829,0.61491,0.86311,0.0019472,0.0019472,0.0019472
10,2250.47,1.62037,0.67453,0.84508,1,0.90683,0.96688,0.57564,1.31363,0.60833,0.85777,0.0019406,0.0019406,0.0019406
11,2451.37,1.62718,0.69193,0.84318,0.94964,0.9507,0.97863,0.59419,1.35992,0.54729,0.85295,0.001934,0.001934,0.001934
12,2649.43,1.58932,0.6809,0.85619,0.91889,0.95197,0.98027,0.5888,1.30874,0.57164,0.84296,0.0019274,0.0019274,0.0019274
13,2833.06,1.54193,0.64354,0.83589,0.93962,0.89916,0.94463,0.557,1.32284,0.5972,0.8498,0.0019208,0.0019208,0.0019208
14,3010.61,1.52549,0.62149,0.839,0.96512,0.94958,0.98355,0.6132,1.21375,0.5348,0.86094,0.0019142,0.0019142,0.0019142
15,3192.17,1.53749,0.65553,0.83089,0.93946,0.94958,0.96364,0.58468,1.27046,0.5924,0.85179,0.0019076,0.0019076,0.0019076
16,3377.06,1.52751,0.64821,0.84455,0.97696,0.91597,0.97946,0.61256,1.19191,0.57127,0.84731,0.001901,0.001901,0.001901
17,3561.01,1.51662,0.63793,0.83924,0.96637,0.96584,0.98516,0.59262,1.19036,0.56512,0.84508,0.0018944,0.0018944,0.0018944
18,3780.83,1.41725,0.61707,0.82418,0.98207,0.92033,0.98689,0.55739,1.22966,0.54076,0.84155,0.0018878,0.0018878,0.0018878
19,3987.25,1.46015,0.64955,0.81975,0.97394,0.88235,0.97675,0.59204,1.06611,0.54096,0.82331,0.0018812,0.0018812,0.0018812
20,4184.8,1.47887,0.6595,0.82471,0.96806,0.94118,0.98242,0.62514,1.2289,0.55574,0.84629,0.0018746,0.0018746,0.0018746
21,4405.42,1.52555,0.65504,0.82351,0.99144,0.97371,0.99188,0.6426,1.08412,0.50684,0.8338,0.001868,0.001868,0.001868
22,4623.98,1.44495,0.60802,0.82243,0.97362,0.93049,0.98926,0.63642,1.11909,0.52192,0.83642,0.0018614,0.0018614,0.0018614
23,4845.48,1.50887,0.59378,0.82795,0.98234,0.93462,0.98376,0.62216,1.11328,0.55506,0.83445,0.0018548,0.0018548,0.0018548
24,5064.54,1.39527,0.59203,0.82328,0.94722,0.93277,0.9805,0.60832,1.31133,0.5993,0.85918,0.0018482,0.0018482,0.0018482
25,5249.66,1.50081,0.61853,0.82792,0.95391,0.95798,0.98976,0.64063,1.08607,0.50321,0.82904,0.0018416,0.0018416,0.0018416
26,5468.44,1.42432,0.58685,0.82968,0.9827,0.95454,0.99053,0.6352,1.13729,0.51834,0.83339,0.001835,0.001835,0.001835
27,5674.1,1.40518,0.59213,0.82362,0.94863,0.93107,0.97571,0.61742,1.06133,0.56638,0.82364,0.0018284,0.0018284,0.0018284
28,5872.4,1.39346,0.58605,0.81004,0.95731,0.94958,0.98297,0.61989,1.18934,0.51381,0.83941,0.0018218,0.0018218,0.0018218
29,6074.12,1.51621,0.62986,0.82563,0.95349,0.92437,0.97451,0.60723,1.19694,0.66502,0.8419,0.0018152,0.0018152,0.0018152
30,6270.09,1.42892,0.57528,0.82345,0.97303,0.95798,0.99008,0.59834,1.16851,0.49416,0.8327,0.0018086,0.0018086,0.0018086
31,6477.56,1.43212,0.56885,0.83,0.9912,0.94621,0.98483,0.63125,1.09243,0.50913,0.83455,0.001802,0.001802,0.001802
32,6686.04,1.35496,0.57622,0.8295,0.96595,0.95353,0.98805,0.6621,1.02627,0.4927,0.82889,0.0017954,0.0017954,0.0017954
33,6870.9,1.38394,0.56688,0.82057,0.97975,0.95798,0.99081,0.65093,1.07172,0.47045,0.82718,0.0017888,0.0017888,0.0017888
34,7088.99,1.46675,0.60863,0.82943,1,0.92306,0.98719,0.64555,1.1288,0.49646,0.83398,0.0017822,0.0017822,0.0017822
35,7294.05,1.43098,0.60182,0.82712,0.98245,0.9407,0.98888,0.61414,1.05788,0.48282,0.82343,0.0017756,0.0017756,0.0017756
36,7491.12,1.43143,0.61655,0.81064,0.97507,0.98596,0.99381,0.64404,1.06983,0.48481,0.82652,0.001769,0.001769,0.001769
37,7690.67,1.36559,0.57675,0.80337,0.97445,0.96169,0.99323,0.6657,1.06159,0.50217,0.82573,0.0017624,0.0017624,0.0017624
38,7886.37,1.38617,0.58135,0.82366,0.98049,0.94958,0.98692,0.6677,1.10768,0.49888,0.82967,0.0017558,0.0017558,0.0017558
39,8094.36,1.40287,0.56801,0.81786,0.97156,0.95798,0.99172,0.66872,1.08168,0.49787,0.82658,0.0017492,0.0017492,0.0017492
40,8303.05,1.35668,0.55214,0.81599,0.99139,0.96781,0.99418,0.66336,1.03328,0.46303,0.82631,0.0017426,0.0017426,0.0017426
41,8487.79,1.35002,0.56125,0.79747,0.98878,0.97479,0.99419,0.65193,1.14174,0.50322,0.82703,0.001736,0.001736,0.001736
42,8705.85,1.40542,0.57603,0.81858,0.99128,0.95549,0.98805,0.64934,1.10955,0.46147,0.82474,0.0017294,0.0017294,0.0017294
43,8910.66,1.41313,0.55995,0.82375,0.9932,0.96639,0.99442,0.64392,1.04609,0.54654,0.81986,0.0017228,0.0017228,0.0017228
44,9161.44,1.31201,0.53301,0.81461,0.98689,0.98319,0.9936,0.6632,1.00992,0.46651,0.82139,0.0017162,0.0017162,0.0017162
45,9368.12,1.35988,0.56691,0.81266,0.95984,0.97479,0.99251,0.68728,1.08338,0.47809,0.82935,0.0017096,0.0017096,0.0017096
46,9590.65,1.33844,0.559,0.82382,0.98324,0.9858,0.9945,0.64608,1.04463,0.46866,0.81889,0.001703,0.001703,0.001703
47,9805.6,1.33195,0.54643,0.81373,0.98674,0.94958,0.99305,0.66996,0.98288,0.4549,0.82621,0.0016964,0.0016964,0.0016964
48,10020.8,1.32347,0.56345,0.81499,0.99125,0.9522,0.99264,0.66671,0.97206,0.48896,0.81949,0.0016898,0.0016898,0.0016898
49,10206.3,1.31089,0.55197,0.81558,0.9914,0.96886,0.99185,0.65159,0.95177,0.43528,0.81605,0.0016832,0.0016832,0.0016832
50,10423.4,1.3645,0.58535,0.80423,0.97482,0.97589,0.99368,0.67464,1.04969,0.46998,0.82386,0.0016766,0.0016766,0.0016766
51,10653.2,1.34238,0.54806,0.82242,0.96518,0.97479,0.98866,0.62318,1.15884,0.49996,0.82516,0.00167,0.00167,0.00167
52,10864.6,1.30988,0.55455,0.80748,0.97379,0.97479,0.99034,0.60029,1.18755,0.52325,0.83455,0.0016634,0.0016634,0.0016634
53,11104.7,1.35884,0.55653,0.81252,1,0.95543,0.99361,0.65752,1.00412,0.45451,0.81457,0.0016568,0.0016568,0.0016568
54,11314.7,1.25802,0.54532,0.79192,0.98232,0.93387,0.98597,0.64804,1.08056,0.51596,0.82008,0.0016502,0.0016502,0.0016502
55,11553.3,1.36406,0.54843,0.81604,0.9579,0.95594,0.98266,0.66283,1.25915,0.57273,0.84508,0.0016436,0.0016436,0.0016436
56,11763,1.36662,0.5822,0.81692,0.95841,0.96821,0.99048,0.66756,1.02412,0.4936,0.8195,0.001637,0.001637,0.001637
57,11961.3,1.33977,0.5974,0.81452,0.96692,0.98245,0.99359,0.64406,1.06587,0.49611,0.82429,0.0016304,0.0016304,0.0016304
58,12177.5,1.33529,0.5547,0.819,1,0.97176,0.99397,0.67709,1.05654,0.47404,0.82617,0.0016238,0.0016238,0.0016238
