epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.2377,1.79785,41.2883,0.7682,0.77958,0.77311,0.70657,0.34821,1.26175,7.51788,0.72525,0.000664957,0.000664957,0.000664957
2,60.7701,1.75652,15.8418,0.77581,0.94571,0.87834,0.94855,0.44785,1.18864,6.05866,0.73331,0.00132723,0.00132723,0.00132723
3,89.8855,1.76104,6.61912,0.78798,0.87578,0.79832,0.90469,0.51475,1.14004,0.7549,0.71989,0.0019851,0.0019851,0.0019851
4,119.062,1.68013,3.08129,0.7823,0.91116,0.94811,0.96213,0.51335,1.18673,0.56233,0.74079,0.0019802,0.0019802,0.0019802
5,148.184,1.72472,1.89689,0.79717,0.94697,0.94118,0.96913,0.49718,1.26817,0.54044,0.7307,0.0019736,0.0019736,0.0019736
6,177.334,1.58673,1.40773,0.75969,0.96788,0.96639,0.98867,0.56326,1.24252,0.55093,0.72825,0.001967,0.001967,0.001967
7,206.232,1.55861,1.10736,0.75863,0.94621,0.93277,0.96195,0.58608,1.11613,0.55041,0.71432,0.0019604,0.0019604,0.0019604
8,235.107,1.46983,0.947,0.73131,0.97211,0.8788,0.95646,0.52349,1.31814,0.53071,0.73263,0.0019538,0.0019538,0.0019538
9,264.014,1.46315,0.93269,0.74208,0.94821,0.94958,0.98121,0.59835,1.06433,0.53264,0.70636,0.0019472,0.0019472,0.0019472
10,294.111,1.47496,0.83569,0.75787,0.93141,0.91295,0.9569,0.5688,1.04264,0.51767,0.70954,0.0019406,0.0019406,0.0019406
11,324.151,1.57324,0.7837,0.76634,0.96414,0.92437,0.97488,0.5595,0.96592,0.53186,0.69715,0.001934,0.001934,0.001934
12,353.76,1.48157,0.73106,0.73145,0.93286,0.93413,0.97562,0.58907,1.05705,0.51281,0.68977,0.0019274,0.0019274,0.0019274
13,382.969,1.46716,0.73421,0.7276,0.95545,0.90117,0.96917,0.56466,1.03545,0.49784,0.69796,0.0019208,0.0019208,0.0019208
14,412.449,1.54658,0.73643,0.76494,0.94225,0.96639,0.98782,0.62168,0.96162,0.48502,0.69351,0.0019142,0.0019142,0.0019142
15,441.646,1.43268,0.65317,0.75439,0.96527,0.93415,0.98604,0.61268,0.96836,0.50188,0.69909,0.0019076,0.0019076,0.0019076
16,470.848,1.48582,0.6875,0.73974,0.98277,0.95838,0.98299,0.62727,0.91569,0.4692,0.687,0.001901,0.001901,0.001901
17,499.851,1.41554,0.62791,0.73633,0.94938,0.94565,0.97942,0.60688,0.93242,0.47684,0.69367,0.0018944,0.0018944,0.0018944
18,529.135,1.42472,0.60351,0.75987,0.94988,0.95558,0.98135,0.63348,0.92167,0.46903,0.68653,0.0018878,0.0018878,0.0018878
19,558.309,1.39856,0.62387,0.75889,0.94995,0.95698,0.97721,0.59293,0.94961,0.44596,0.69321,0.0018812,0.0018812,0.0018812
20,587.101,1.3658,0.62556,0.72446,0.91893,0.95259,0.95529,0.54328,1.07314,0.74103,0.70001,0.0018746,0.0018746,0.0018746
21,616.486,1.42029,0.60156,0.75032,0.96835,0.94118,0.97785,0.61712,0.98244,0.7187,0.69252,0.001868,0.001868,0.001868
22,645.809,1.44863,0.65389,0.77192,0.96228,0.96639,0.97363,0.59985,1.02313,0.48902,0.69856,0.0018614,0.0018614,0.0018614
23,674.767,1.36798,0.56496,0.74388,0.96515,0.94958,0.98771,0.59713,0.87749,0.43163,0.67968,0.0018548,0.0018548,0.0018548
24,703.577,1.37328,0.60275,0.73669,0.96464,0.91695,0.98702,0.62904,1.01592,0.74323,0.69233,0.0018482,0.0018482,0.0018482
25,732.46,1.37875,0.60552,0.74695,0.93298,0.93589,0.95615,0.61658,0.86268,0.42148,0.6832,0.0018416,0.0018416,0.0018416
26,761.402,1.28734,0.5782,0.712,0.95782,0.96639,0.96671,0.63641,0.84439,0.48534,0.67869,0.001835,0.001835,0.001835
27,790.545,1.35559,0.55716,0.74425,0.99114,0.94027,0.98982,0.64127,0.92341,0.52207,0.69361,0.0018284,0.0018284,0.0018284
28,819.396,1.3622,0.57936,0.73625,0.97339,0.94958,0.98581,0.6602,0.92753,0.48037,0.6786,0.0018218,0.0018218,0.0018218
29,848.644,1.32628,0.5523,0.74633,0.99119,0.94561,0.9914,0.61277,0.98801,0.45656,0.69348,0.0018152,0.0018152,0.0018152
30,877.723,1.34244,0.56545,0.7414,0.96559,0.94331,0.98345,0.61719,0.91308,0.48387,0.68521,0.0018086,0.0018086,0.0018086
31,906.888,1.30447,0.52792,0.73963,0.98256,0.94667,0.98561,0.64922,0.8653,0.44784,0.67577,0.001802,0.001802,0.001802
32,935.889,1.32737,0.56258,0.74431,0.95802,0.95897,0.99142,0.67105,0.91925,0.44756,0.68154,0.0017954,0.0017954,0.0017954
33,964.891,1.27213,0.55973,0.72388,0.95856,0.97191,0.99149,0.6402,0.86885,0.47185,0.67134,0.0017888,0.0017888,0.0017888
34,994.156,1.32288,0.57229,0.73255,0.91932,0.95755,0.97452,0.62425,0.9205,0.43523,0.68211,0.0017822,0.0017822,0.0017822
35,1023.62,1.31582,0.56875,0.74207,0.94942,0.94639,0.97826,0.64135,0.88368,0.43978,0.67644,0.0017756,0.0017756,0.0017756
36,1052.65,1.24786,0.51092,0.73164,0.97445,0.9616,0.9906,0.64422,0.90328,0.43967,0.68123,0.001769,0.001769,0.001769
37,1081.67,1.27278,0.53744,0.74005,0.98265,0.95198,0.98906,0.64615,0.88124,0.40208,0.68326,0.0017624,0.0017624,0.0017624
38,1110.93,1.22473,0.52872,0.7184,0.97216,0.98319,0.98314,0.62761,0.8925,0.42575,0.67259,0.0017558,0.0017558,0.0017558
39,1139.99,1.30432,0.57106,0.73463,0.95257,0.89076,0.96317,0.58895,0.95934,0.56069,0.68234,0.0017492,0.0017492,0.0017492
40,1169.09,1.28311,0.54864,0.72333,0.99821,0.96639,0.99409,0.66843,0.83815,0.41653,0.67305,0.0017426,0.0017426,0.0017426
41,1198.5,1.31848,0.5229,0.73563,0.9914,0.96913,0.9941,0.62099,0.93202,0.41586,0.67621,0.001736,0.001736,0.001736
42,1227.57,1.33815,0.53286,0.76065,0.96759,0.94118,0.99057,0.67982,0.77587,0.35941,0.67249,0.0017294,0.0017294,0.0017294
43,1256.78,1.2937,0.54756,0.75128,0.91935,0.95786,0.98621,0.60952,0.88949,0.43083,0.67522,0.0017228,0.0017228,0.0017228
44,1285.86,1.29036,0.56463,0.74205,0.98301,0.97215,0.98613,0.67329,0.8239,0.45967,0.67586,0.0017162,0.0017162,0.0017162
45,1314.85,1.25569,0.54684,0.74412,0.98473,0.97479,0.99416,0.67056,0.87002,0.39933,0.67189,0.0017096,0.0017096,0.0017096
46,1343.71,1.27095,0.53712,0.73423,0.94185,0.94958,0.98651,0.65409,0.7939,0.4064,0.66707,0.001703,0.001703,0.001703
47,1372.55,1.25671,0.50358,0.72757,0.98246,0.94134,0.99044,0.66605,0.89907,0.41333,0.68163,0.0016964,0.0016964,0.0016964
48,1401.44,1.27746,0.52538,0.72728,0.96611,0.95837,0.99109,0.65488,0.86032,0.43171,0.67217,0.0016898,0.0016898,0.0016898
49,1430.4,1.33862,0.54045,0.73733,0.98238,0.93729,0.98992,0.60644,0.84296,0.40973,0.67248,0.0016832,0.0016832,0.0016832
50,1459.46,1.34731,0.57767,0.72902,0.97807,0.94118,0.98983,0.67915,0.79968,0.43522,0.66854,0.0016766,0.0016766,0.0016766
51,1488.12,1.27621,0.54084,0.71709,0.97123,0.96639,0.99186,0.67869,0.85657,0.40855,0.67186,0.00167,0.00167,0.00167
52,1517.48,1.2953,0.53119,0.73416,0.99165,0.96639,0.99397,0.64719,0.82918,0.38531,0.6676,0.0016634,0.0016634,0.0016634
53,1546.25,1.29291,0.52939,0.73262,0.98282,0.96138,0.9903,0.63025,0.98017,0.4329,0.6767,0.0016568,0.0016568,0.0016568
54,1575.47,1.2617,0.52563,0.71651,0.97373,0.97479,0.98917,0.65381,0.80712,0.41687,0.66696,0.0016502,0.0016502,0.0016502
55,1604.85,1.33472,0.53067,0.73074,0.98257,0.98319,0.99387,0.66773,0.8682,0.37605,0.67484,0.0016436,0.0016436,0.0016436
56,1633.8,1.25692,0.52542,0.7099,0.97362,0.93052,0.9858,0.66317,0.82197,0.43434,0.67091,0.001637,0.001637,0.001637
57,1662.79,1.33728,0.54253,0.72527,0.99123,0.94953,0.99132,0.66321,0.77687,0.4791,0.66721,0.0016304,0.0016304,0.0016304
58,1691.7,1.27555,0.52206,0.71403,0.98925,0.95798,0.99195,0.6665,0.83622,0.40722,0.67202,0.0016238,0.0016238,0.0016238
59,1720.59,1.30923,0.54583,0.73182,0.98266,0.95235,0.99232,0.64344,0.79214,0.37703,0.66342,0.0016172,0.0016172,0.0016172
