epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.8705,1.96127,39.7852,0.85861,0.93621,0.86329,0.93181,0.41733,1.49469,7.52696,0.88406,0.000663248,0.000663248,0.000663248
2,48.1179,1.86591,17.9427,0.86487,0.94813,0.88235,0.93269,0.49222,1.40471,4.613,0.87275,0.00132553,0.00132553,0.00132553
3,69.922,1.76099,7.17614,0.84879,0.92621,0.89916,0.97248,0.50028,1.65114,0.68297,0.89724,0.0019834,0.0019834,0.0019834
4,91.5732,1.79526,3.24492,0.86469,0.95939,0.88235,0.96241,0.57347,1.20343,0.6023,0.8409,0.0019802,0.0019802,0.0019802
5,113.089,1.69384,1.77218,0.84176,0.9237,0.90756,0.96884,0.49401,1.47215,0.66892,0.87207,0.0019736,0.0019736,0.0019736
6,134.821,1.7652,1.46311,0.86351,0.94198,0.92437,0.98439,0.55791,1.4037,0.6872,0.84556,0.001967,0.001967,0.001967
7,156.078,1.66278,1.13194,0.85201,0.95474,0.89916,0.95563,0.53265,1.22997,0.61908,0.85513,0.0019604,0.0019604,0.0019604
8,177.786,1.70784,1.03129,0.84935,0.8842,0.89834,0.93231,0.45648,1.437,0.61294,0.86488,0.0019538,0.0019538,0.0019538
9,199.245,1.61622,0.99188,0.85044,0.9821,0.92207,0.97136,0.58628,1.25592,0.5868,0.85187,0.0019472,0.0019472,0.0019472
10,220.935,1.60727,0.86651,0.84247,0.90564,0.93277,0.95133,0.53245,1.36145,0.60232,0.84001,0.0019406,0.0019406,0.0019406
11,242.325,1.64051,0.83529,0.83881,0.97372,0.93412,0.97485,0.55856,1.40573,0.59571,0.84922,0.001934,0.001934,0.001934
12,263.79,1.59462,0.76579,0.85371,0.97427,0.95462,0.9888,0.61017,1.18568,0.54415,0.83662,0.0019274,0.0019274,0.0019274
13,285.515,1.52279,0.75881,0.83244,0.96555,0.94221,0.97354,0.62112,1.1486,0.5621,0.83151,0.0019208,0.0019208,0.0019208
